#id,#continue_on_failed,#messages_count,#execute,#fail_unexpected,#description,#service_name,#reference,#timeout,#action,#message_type,#check_point,OnBehalfOfCompID,DeliverToCompID,ApplVerID,ClOrdID,OrigClOrdID,OrderID,TradingParty,NoPartyIDs,PartyID,PartyIDSource,PartyRole,Account,SecurityID,SecurityIDSource,OrdType,TimeInForce,ExpireTime,ExpireDate,Side,OrderQty,DisplayQty,Price,AccountType,OrderCapacity,TransactTime,SecondaryClOrdID,ClOrdLinkID,ApplID,ExecInst,MassCancelRequestType,TargetParty,NoTargetPartyIDs,TargetPartyID,TargetPartyIDSource,TargetPartyRole,MarketSegmentID,ExecID,ExecType,TrdMatchID,ExecRefID,ExecRestatementReason,OrdStatus,WorkingIndicator,OrdRejReason,Text,LastQty,LastPx,ConvertedYield,Yield,LeavesQty,CumQty,TradeLiquidityIndicator,PreTradeAnonymity,AvgPx,CxlRejResponseTo,CxlRejReason,MassActionReportID,MassCancelResponse,MassCancelRejectReason,DisplayMethod,OrderBook,StopPx,OrderSource,LastParPx,ParPx,QuoteMsgID,QuoteID,BidPx,BidSize,OfferPx,OfferSize,QuotQualGrp,NoQuoteQualifiers,QuoteQualifier,QuoteCancelType,QuotCxlEntriesGrp,NoQuoteEntries,QuoteStatus,QuoteRejectReason,QuoteType,MESIndicator,PassiveOnlyOrder,PriceDifferential,TradeRequestID,TypeOfTrade,MDEntryID,TradeRequestType,MatchType,TrdType,SecAltIDGrp,NoSecurityAltID,SecurityAltID,SecurityAltIDSource,SecurityType,ProductComplex,TCRUnderlyingBIT,NoUnderlyings,UnderlyingSymbol,Issuer,ApplReqID,ApplReqType,ApplIDRequestGrp,ApplMesReqGrpBIT,NoApplIDs,RefApplID,ApplBegSeqNum,ApplEndSeqNum,ApplSeqNum,ApplLastSeqNum,ApplResendFlag,LastRptRequested,TradeReportID,TradeID,TradeLinkID,FirmTradeID,TradeReportRefID,TradeHandlingInstr,TradeReportType,ClearingType,NovatedIndicator,OriginalPrice,SettlCurrency,TradeReportTransType,MatchStatus,OrigTradeHandlingInstr,PriceType,SettlDate,MaturityDate,IssueDate,CurrentMarketPriceValueIndicator,NegotiatedTradeIndicator,ExceededTheMinimumSizeIndicator,RequestNotToPublishQuantityIndicator,DelayMode,IntendedPublishTime,VenueIdentificationCode,TCRSideGroupTRM,TCRSideGroupBIT,NoSides,SideExecID,TradingSessionSubID,OrderCategory,SideLiquidityInd,TradeRequestStatus,TradeRequestResult,TotNumTradeReports,ApplResponseID,RefApplLastSeqNum,ApplResponseError,TradePublishIndicator,TrdRptStatus,TradeReportRejectReason,TrdSubType,BusinessRejectRefID,BusinessRejectReason,#add_to_report,Neww,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id
0,,,,,,,,,test case start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,,,,,,,,,test case end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,,,y,,,,group_NoTargetPartyIDs_1,,,NoTargetPartyIDs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICR_57,PROPRIETARY_CUSTOM_CODE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3,,,y,,,,component_TargetParty,,,TargetParty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[group_NoTargetPartyIDs_1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
4,,,n,,Mass cancel,FIX_F9_OM_2,mass1,,FIX_SendOrderMassCancelRequest,quickfix.fix50.OrderMassCancelRequest,,,,,#{ClOrdID()},,,,,,,,,999991,8,,,,,,,,,,,new Date(),,,,,1,[component_TargetParty],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
5,,,y,,ClOrdId=random(pass),FIX_F9_OM_2,check1,,GetCheckPoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
7,,,y,,,,group_NoQuoteEntries_1,,,NoQuoteEntries,,,,,,,,,,,,,,23257004,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
8,,,y,,,,component_QuotCxlEntriesGrp1,,,QuotCxlEntriesGrp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[group_NoQuoteEntries_1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
9,,,y,,,,group_NoSecurityAltID_1,,,NoSecurityAltID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT6781761,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
10,,,y,,,,component_SecAltIDGrp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[group_NoSecurityAltID_1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
